Title,Abstract,Speaker,Type,Category,Session_start,Time_start,Time_end,Day,,,,,,
Jet-driven star formation in kpc-scale infant radio sources,"We present the first systematic study of jet-induced star formation in Compact Steep Spectrum (CSS) radio galaxies. The powerful galaxy-sized radio sources hosted in CSS galaxies are the infancy stage of radio galaxy evolution, and hence, crucial in understanding the radio-mode AGN feedback. Radio source driven starbursts only have observational evidence in older, large-scale radio galaxies so far, and are predicted for compact radio sources in theoretical simulations. Using UV continuum as a direct diagnostic for massive young stellar population, we detected extended UV continuum emitting regions in Hubble imaging of six nearby (z < 0.6) CSS host galaxies. Likely to be star forming regions, these UV knots are found spatially aligned along radio jet structure, which suggests jet-induced star formation. Age estimations with stellar population synthesis shows the observations are consistent with star forming activity triggered by the current or an earlier episode of radio emission. Our findings are a strong candidate for positive AGN feedback in compact radio galaxies.",Chetna Duggal,Contributed,Feedback (circumnuclear and galactic scales),False,15:15,15:30,Tuesday,,,,,,
The importance of kpc-scale jet-induced outflows in local radio-intermediate AGN,"Outflows driven by AGN are now thought to be an important form of feedback, with statistical studies providing evidence for them being particularly powerful in galaxies with intermediate radio luminosities. While observations of the NLRs of such galaxies have revealed outflows on kpc scales and in a range of gas phases, their true impact remains unclear. Principally, this is because electron densities of the warm ionised phase (T>10,000K) are often underestimated, leading to outflow kinetic powers being overestimated. Furthermore, outflow acceleration mechanisms are ambiguous in many cases. In this talk, I will present the results of detailed studies of a small sample of nearby Seyfert galaxies that address these issues. In all cases, we find evidence for the NLR outflows being accelerated via shocks induced by jet-ISM interactions, despite the outflowing gas having ionisation conditions that are consistent with AGN-photoionisation. Moreover, using robust density diagnostics for the warm ionised phase, we find densities that are orders of magnitude above those commonly found, and thus derive much lower mass outflow rates. Overall, my talk will highlight the diverse conditions of jet-driven outflows on kpc-scales in local galaxies.",Luke Holden,Contributed,Feedback (circumnuclear and galactic scales),False,15:30,15:45,Tuesday,,,,,,
Jet-induced molecular gas excitation and turbulence in the Teacup,"Jets launched by supermassive black holes are one of the potential drivers of multi-phase outflows and can alter the properties of the interstellar medium (ISM) of galaxies on (sub-)kpc scales. In order to investigate the impact of radio jets on the cold gas reservoirs of AGN, we present ALMA CO(2-1) and CO(3-2) observations of the Teacup galaxy. This is a radio-quiet type-2 quasar with a compact low-power radio jet that subtends a small angle from the molecular gas disc. Enhanced emission line widths perpendicular to the jet orientation have been reported for several nearby AGN for the ionised gas. For the molecular gas in the Teacup, not only do we find this enhancement in the velocity dispersion but also a higher brightness temperature ratio (T32/T21) perpendicular to the radio jet compared to the ratios found in the galaxy disc. Our results and the comparison with simulations suggest that the radio jet is compressing and accelerating the molecular gas, and driving a lateral outflow that shows enhanced velocity dispersion and higher gas excitation. These results provide further evidence that the coupling between the jet and the ISM is relevant to AGN feedback even in the case of radio-quiet galaxies.",Anelise Audibert,Contributed,Feedback (circumnuclear and galactic scales),False,15:45,16:00,Tuesday,,,,,,
Regular cofee break,,,,Conference,False,16:00,16:30,Tuesday,,,,,,
"AGN feedback from compact, low-power jets and galactic ionised outflows in the Teacup QSO: Properties, interplay and effects","The low-z Teacup QSO is a great laboratory to study in detail the complex interplay between SMBH, radio jets, ISM and CGM. It hosts a compact (~1 kpc) jet, ~10 kpc radio and optical AGN-driven bubbles, and both ionised and molecular outflows. 
By employing new VLT/MUSE observations, we detect large gas velocity dispersions perpendicular to the compact jet, indicating that this strongly perturbs the host ISM, as recently found in other jetted sources. In line with recent work and simulations, this demonstrates that compact (<1 kpc), low-power (<10^44 erg/s) jets can significantly affect their hosts.
Moreover, we find an exceptionally powerful galactic ionised outflow, and dissect its properties (mass, kinematics, energetics) from ~1 to 10s kpc scales. We determine its driver among jet and AGN radiation, and compare with model predictions. While the outflow efficiently depletes the reservoir for star formation (“negative” feedback), little material can eventually escape the DM halo. The expelled gas might thus be re-accreted on the galaxy at later times.
Finally, we find evidence for stars formed around the 10 kpc expanding bubble due to the compression by jet and outflow (“positive” feedback), as predicted by theory.",Giacomo Venturi,Contributed,Feedback (circumnuclear and galactic scales),True,16:30,16:45,Tuesday,,,,,,
The impact of AGN activity in nearby Seyfert galaxies: high resolution study of the multiphase ISM,"I will discuss the physics of the multiphase gas in local active galaxies and the impact of the Active Galactic Nucleus (AGN) on the host galaxy evolution. AGNs can generate winds and jets that interact with the host galaxy interstellar medium (ISM). I will focus on the warm ionized, cold molecular phases and radio properties, using MUSE/VLT, ALMA and VLA data. 
I will present a detailed dynamical modelling of the gas component through which we can reconstruct the distribution and kinematics of the discs, winds, jets and their interaction.
By exploiting spatially resolved MUSE multi-line diagnostics, we are able to derive the best estimate of the velocity field, spatial distribution, and electron density, therefore properly quantify the ionized mass and outflow energetics. By comparing high resolution radio and sub-mm data of the central region we are able to infer the presence of compact radio-jets, star formation activity and dust emission on sub-kpc scales.
I will present the application of our approach to a sample of local hard-X-ray selected Seyfert galaxies, including NGC2992. In this object VLA data shows the presence of star formation activity in the disc and of expanding radio bubbles interacting with the surrounding ISM.",Maria Vittoria Zanchettin,Contributed,Feedback (circumnuclear and galactic scales),False,16:45,17:00,Tuesday,,,,,,
Optical/radio view of large-scale galactic AGN-driven outflows,"Galaxy-scale outflows are an important component of galaxy evolution models. Nevertheless, how they affect the host galaxy’s star formation and metal enrichment histories remains unclear. Active Galactic Nucleus (AGN) can effectively launch such outflows producing hot gas and relativistic particles, which generate radio and optical emission. In this project, we are combining optical integral-field spectroscopy data from the MaNGA survey and sensitive radio observations with Jansky Very Large Array (JVLA) to measure the properties of both components with comparable (~1-2”) angular resolution. In this talk, we will present a joint analysis of the radio morphology and spectrum, ionized gas kinematics, and the properties of the host galaxy for our sample of galaxies in conjunction with results concern the pc-scale radio emission of these AGN derived from VLBI observations. We demonstrate how, together, spatially resolved radio and optical data offer a more complete picture of the outflow’s energetics, kinematics, origin, and interaction with their surroundings.",Ivan Katkov,Contributed,Feedback (circumnuclear and galactic scales),False,17:00,17:15,Tuesday,,,,,,
Discussion,,,,Feedback (circumnuclear and galactic scales),False,17:15,18:00,Tuesday,,,,,,
"Social Dinner (""Le Mura"" Restaurant)",,,,Conference,False,20:00,22:00,Tuesday,,,,,,
What have we learned about the life-cycle of radio AGN ,"The recurrent activity of radio AGN, with phases of activity alternating to periods of quiescence, has been known since the early studies of these objects. However, the full relevance of this cycle has been only emphasised in the past years by the requirement, from   the AGN feedback scenario, of a recurrent impact of the energy released by the SMBH during the lifetime of the host galaxy: only in this way AGN feedback can influence galaxy evolution.  Timing the duty-cycle of radio AGN offers the possibility not only to quantify this impact but also to connect it with their evolutionary stage.  
Radio AGN in different evolutionary phases can be identified by their properties, like morphology and spectral indices. However, building large enough samples of radio sources in the most elusive phases of their evolution, like dying and restarted objects, has been always challenging. Only by characterising these phases, the full duty cycle can be quantified.
The availability of the new, large surveys and, in particular, the one at low frequencies, together with the development of new numerical simulations, makes this task now possible. Indeed, the past years have brought particularly exciting results in this field. 
IN this talk I will give an overview of the work done so far, highlighting some of the results obtained using a variety of radio telescopes as well as the initial results from the comparison with the predictions from numerical simulations. ",Raffaella Morganti,Invited,Duty cycle ,True,09:30,10:00,Wednesday,,,,,,
Automatic selection of restarted radio galaxies in the HETDEX field,"Radio AGN in different evolutionary phases can be identified by their properties, like morphology and spectral indices. However, building large enough samples of radio sources in the most elusive phases of their evolution, like dying and restarted objects, has been always challenging. Only by characterising these phases, the full duty cycle can be quantified.",Nika Jurlin,Contributed,Duty cycle ,False,10:00,10:15,Wednesday,,,,,,
Searching for remnants among young radio sources,"IN this talk I will give an overview of the work done so far, highlighting some of the results obtained using a variety of radio telescopes as well as the initial results from the comparison with the predictions from numerical simulations. ",Monica Orienti,Contributed,Duty cycle ,False,10:15,10:30,Wednesday,,,,,,
Flash Talks 3,Feeding the giant (radio galaxy): a detailed case study of MSH05−22 <p> Kpc-scale radio structure in Seyfert galaxies: life-cycle and their importance on galaxy evolution,"Chris Riseley, Rubinur Khatun",Contributed,Duty cycle ,False,10:30,10:40,Wednesday,,,,,,
Long poster break,,,,Conference,False,10:40,11:20,Wednesday,,,,,,
Using AGN incidences to probe properties of jet powering with eROSITA and LOFAR,"The eROSITA eFEDS survey reaches an unprecedented combination of X-ray sensitivity and sky coverage, additionally being enhanced by many multiwavelength surveys. This project investigates how radio- and X-ray-selected SMBHs populate galaxies. We use the highly complete GAMA09 survey to measure the fraction of galaxies hosting AGN, defined using LOFAR and eROSITA data. We find that the incidence of radio AGN with compact morphologies as a function of 'radio luminosity/stellar mass' results in more massive galaxies being more likely to host radio AGN. Yet, when recasting this as a function of 'jet power/Eddington luminosity' (i.e. specific black hole kinetic power), low and high mass show consistent trends, indicating a possible mass-invariant jet powering mechanism, much like the universal triggering/fueling mechanisms found here and in past X-ray work. The fraction of quiescent vs. star forming galaxies hosting radio AGN is also comparable, defying the view that only red and dead galaxies host radio AGN. Lastly, the impact of environment on jet powering is probed by including radio AGN with complex morphologies (e.g. FRII). This work provides useful information on the AGN duty cycle for feedback simulations.",Zsofi Igo,Contributed,Duty cycle ,True,11:20,11:35,Wednesday,,,,,,
A Multi-frequency Analysis of the Timescales Associated with AGN Activity in a Jetted Green Bean Galaxy,"Jetted AGN that host extended ionized nebulae provide us with a unique view of the timescales associated with AGN activity. Here we present a multi-frequency analysis of one such source caught in a moment where the properties of the central engine have changed. Specifically, we use radio observations to constrain the time since the last reacceleration of charged particles in the radio galaxy hotspots of the system, and optical long-slit spectroscopy to estimate the redshift and kinematic properties of the host galaxy, and the light travel time needed to ionize the extended gas around the AGN. The data suggest that the AGN was previously in a low accretion state associated with the production of radio jets, but has since transitioned to a state of higher accretion associated with ionizing the extended gas around it. We discuss the possibilities that the AGN underwent this transition either via AGN flickering, or via an accretion state transition as seen in Galactic X-ray binaries. We also discuss possible explanations for the unusual apparent hybrid radio morphology of the source, including the presence of a detached cloud coincident with one of the radio hot spots in the circum-galactic medium of the system.",Kelly Sanderson,Contributed,Duty cycle ,False,11:35,11:50,Wednesday,,,,,,
Radio observations of nearby X-ray and optically bright giant elliptical galaxies and their interaction with the intergalactic medium,"Many massive early-type galaxies host central radio sources and hot X-ray atmospheres indicating the presence of radio-mechanical AGN feedback. The duty cycle and detailed physics of the radio-mode AGN feedback is still a matter of debate. To address these questions, we analyzed 1-2 GHz JVLA radio observations of a sample of the 42 nearest optically and X-ray brightest early-type galaxies. We detect radio emission in 41/42 galaxies. Furthermore, 27/42 galaxies in our sample host extended radio structures and 34/42 sources show environmental interactions in the form of X-ray cavities. We find a significant correlation between the radio flux density and the largest linear size of the radio emission and between the radio power and the luminosity of the central X-ray point-source. The central radio spectral indices of the galaxies span a wide range of values, with the majority of the systems having steep spectra and the rest flat spectra. These results are consistent with AGN activity, where the central radio sources are mostly switched on, thus the duty cycle is very high. For the future, we plan to investigate the cold gas content in our sample with ALMA, to understand in more depth the feeding process of the central engine.",Romana Grossova,Contributed,Duty cycle ,False,11:50,12:05,Wednesday,,,,,,
Constraining the AGN duty cycle in the galaxy cluster MS 0735.6+7421,"The galaxy cluster MS 0735.6+7421 hosts one of the most powerful jetted AGN known.
The radio plasma ejected from the central AGN has displaced the intra-cluster medium, leaving two pairs of X-ray cavities, associated with different outbursts, and a weak shock front.
In this talk, I will present new LOFAR observations, which high sensitivity and resolution (up to sub-arcsec resolution with international baselines), allowed to study this source in great details. At LOFAR frequency (144 MHz) the outer radio lobes are wider, perfectly filling the X-ray cavities. An intermediate lobe and its associated X-ray cavity were discovered, indicating the presence of a further phase of jet activity. Combining multi-frequency radio data and X-ray data, the duty cycle of the source and the AGN feedback were investigated. The radio spectra of the lobes is very steep even at 144 MHz, indicating the presence of old particles. In three phases of jet activity, the AGN was active for most of the time with only brief quiescent phases that ensured the repeated heating of the central gas. Energy budget estimates indicate that a source of additional pressure support is needed to sustain the bubbles against the pressure of the external medium.",Nadia Biava,Contributed,Duty cycle ,False,12:05,12:20,Wednesday,,,,,,
The demographics of radio-AGN activity from LoTSS and SDSS,"The combination of the vast, high-sensitivity radio catalogues being produced by the LOFAR Two-Metre Sky Survey (LoTSS), with the large spectroscopic samples made available through SDSS, provides a remarkable resource to understand the triggering, evolution and feedback effects of radio-AGN in the nearby Universe. Using these data, we confirm the existence of the tight fundamental plane of black hole activity (jet power vs accretion power vs black hole mass) using tens of thousands of local AGN, and characterise the additional galaxy parameters that produce the scatter in the relation. We also measure the prevalence of different classes of radio-AGN activity as multi-variate functions of stellar mass, black hole mass, environment and galaxy morphology. Once the strong stellar mass dependence is accounted for, we find no dependence of radio-AGN activity on either black hole mass or morphology, but do find enhanced radio luminosities in higher density environments. These results imply that the triggering of radio-AGN activity is controlled by processes on galactic scales or larger. We discuss the implications of this result for radio-AGN fuelling and the radio-AGN feedback cycle.",Philip Best,Contributed,RQ AGN and evolutionary studies ,False,12:20,12:35,Wednesday,,,,,,
Discussion,,,,Duty cycle ,False,12:35,13:15,Wednesday,,,,,,
Free afternoon (excursions),,,,Conference,False,13:15,17:00,Wednesday,,,,,,
Galaxy groups as the ultimate probe of AGN feedback,"The co-evolution between supermassive black holes and their environment is most directly traced by the hot atmospheres of dark matter halos. Cooling of the hot atmosphere supplies the central regions with fresh gas, igniting AGN with long duty cycles. Outflows from the central engine tightly couple with the surrounding gaseous medium and provide the dominant heating source preventing runaway cooling. Every major modern hydrodynamical simulation suite now includes a prescription for AGN feedback to reproduce realistic populations of galaxies. Galaxy groups are uniquely suited to constrain the mechanisms governing the cooling-heating balance, as the energy supplied by the central AGN can exceed the gravitational binding energy of halo gas particles. I will review our knowledge of the impact of AGN on the hot atmospheres of galaxy groups, with a specific focus on the thermodynamic profiles of groups. I will then present our on-going efforts to improve on the implementation of AGN feedback in galaxy evolution models by providing precise benchmarks on the properties of galaxy groups. Finally, I will describe how new instrumentation (in particular Athena) will answer key open questions on the topic.",Dominique Eckert ,Invited,Feedback (large scales and clusters),True,09:30,10:00,Thursday,,,,,,
Inefficient jet-induced star formation in Centaurus A: Can shocks regulate star formation in the northern filaments?,"The influence of AGN and radio jets on galaxy evolution remains poorly understood. While AGN feedback is often invoked as a regulation mechanism for star formation, some radio galaxies show evidence of recent star formation along their radio jet. This suggests that the jets can drive positive feedback.

   Located at 3.8 Mpc, Centaurus A is a testbed to study the so-called ”jet-induced star formation” in its northern filaments, at the interaction of the jet with a HI shell. Although the molecular gas reservoir is important, star formation is very inefficient as compared to disc-like environments. This suggests that the energy injected by the jet acts positively in the formation of molecular gas from the HI shell, but is too strong for star formation to be efficient.

   MUSE observations revealed that the optical emission associated with the filaments is likely excited by shocks. I will thus present the results of our study of the shock properties at the scale of the molecular clouds. This analysis is based on a multi-wavelength campaign: (1) various molecular lines with APEX and ALMA, (2) the ionised gas with MUSE, and (3) KMOS observations of the warm H2 at 2.12 microns.",Quentin Salomé,Contributed,Feedback (large scales and clusters),False,10:00,10:15,Thursday,,,,,,
A Chandra-MUSE view of feedback in radio galaxies,"Interactions between radio galaxies and their large-scale environments are key factors in the feedback processes responsible for triggering and fueling AGN activity and moderating galaxy evolution. To improve our understanding of such interactions, we carried out a multi-frequency analysis based on Chandra and VLT/MUSE observations of radio galaxies in the Third Cambridge Catalog. I will focus on our results on 3CR196.1, the potential first detection of an ionized gas bubble filling an X-ray cavity. I will discuss the different feeding/feedback features found, which make it a prime example of the interplay between multiphase gas haloes and radio jets. Lastly, I will present our preliminary results on the optical-to-X-ray comparison of a sample of 3CR radio galaxies. Apart from showcasing the morphological link between their extended X-ray and optical emission, sources with the same excitation state also display approximately constant X-ray to optical flux ratios. This result points to a different origin of the ionized gas surrounding radio galaxies as a function of their excitation state and supports the scenario in which the excitation state of radio sources is determined by their accretion material.",Ana Jimenez-Gallardo,Contributed,Feedback (large scales and clusters),False,10:15,10:30,Thursday,,,,,,
The MURALES project: a survey of 3C radio galaxies with MUSE," MURALES is a survey of nearby radio galaxies up to redshift z=0.8 with the optical integral field spectrograph MUSE at VLT. For this project, we have been awarded of 54 hours of observations (spanned over three cycles) to observe 63 radio galaxies at z<0.8 from the 3C catalogue. The main aim is to explore the effect of radio jets on the environment, e.g. on the ionisation properties of the interstellar medium and on the star formation (the so called AGN feedback). The line emission images of unprecedented depth allowed us to investigate the gas kinematics, its relationship with the relativistic outflows, and to unveil jet-triggered star forming regions.  On the intergalactic medium, we revealed the widespread presence of filamentary structures extending several tens of kpc, likely the ionised emission of elusive super disks of cold gas. I will present the past and the state-of-art results of this project. ",Barbara Balmaverde,Contributed,Feedback (large scales and clusters),False,10:30,10:45,Thursday,,,,,,
Zooming into the Monster's Mouth: Tracing Feedback from Their Hosts to Circumgalactic Medium in z=3.5 Radio-loud AGN,"It is of critical interest to study how powerful AGN impact their host galaxies at Cosmic high-noon. High-z radio galaxies (type-2, HzRGs) are the only AGN population, where quasar-, radio-mode feedback and the host galaxies can be studied simultaneously. I will present JWST Cycle1 NIRSpec/IFU data (~500kpc^2) of a z~3.59 HzRG. The source was chosen to cover all spectral lines O2 to Hα in one setting, allowing a direct comparison to various physical condition tracers used at lower z. Specifically, I will show maps of the O3 ionized gas outflow showing a complex morphology,  different velocity components, spatial emission peaks and filaments tracing at sub-kpc scales the AGN energy output and feedback onto the ISM. Mismatch between the O3 and jet axis will disentangle the interplay between different feedback modes. MUSE data for this source traces the CGM gas on ~100 kpc in Lyα. Together with the JWST data, I can show how feedback acts from subkpc- to 100s kpc scales. This target is one of the most well-studied HzRG with data from all major IFUs (also ALMA) revealing AGN feedback from various aspects and scales, showcasing the power of multi-wavelength IFU data in galaxy evolution studies at Cosmic high-noon.",Wuji Wang,Contributed,Feedback (large scales and clusters),False,10:45,11:00,Thursday,,,,,,
Regular cofee break,,,,Conference,False,11:00,11:30,Thursday,,,,,,
Investigating how feedback is onset: young radio galaxies at the center of cool core clusters,"The investigation of the AGN feedback cycle in galaxy clusters has historically been performed for systems where feedback is ongoing (""mature-feedback"" systems), that is where the central jetted AGN has inflated radio lobes, pushing aside the intracluster medium (ICM). However, measuring the ICM cooling properties in systems where the gas has already been perturbed by the central activity cannot reveal the conditions that onset feedback. A potential workaround is to investigate systems that are right around the point of triggering feedback, as soon after the AGN begins its activity as possible. This talk is dedicated to recent results on two ""pre-feedback"" clusters, which harbor newly born radio galaxies (<10^4 yr), too young to have affected their cool cores. Chandra observations of these two systems unveiled an as-yet unheated ICM, whose entropy and cooling time within 20 kpc from the center fall below those of ""mature-feedback"" clusters by a factor ∼2. Conversely, MUSE data revealed that the properties of the gas at ∼10^4 K seem to remain invariant between the two feedback stages. I will discuss the implications and future perspectives on these results in the context of how feedback from cluster-central AGN is onset. ",Francesco Ubertosi,Contributed,Feedback (large scales and clusters),True,11:30,11:45,Thursday,,,,,,
Losing the feedback-feeding loop of the radio galaxy 3C 84,"Gas accretion by a galaxy's super massive black hole (SMBH) and the energetic
feedback by the accreting active galactic nucleus (AGN) on the gas around it
are two tightly intertwined processes. Observations of galaxy clusters have
shown how plasma jets emitted by the AGN heat the intracluster medium,
preventing cooling of the cluster gas and thus the infall of this gas onto the
SMBH. However, observations have also shown that rising plasma bubbles,
inflated by the jets, instead also induce local cooling of the cluster gas,
leading to filaments of cold gas. The fate of these filaments is unclear, but
it has been suggested they may feed the AGN activity. We present results
of re-processed CO(2-1) ALMA observations of the molecular gas in NGC 1275,
the central galaxy of the Perseus cluster hosting the radio-loud AGN 3C 84.
These data show, for the first time, in great detail how kpc-sized cold gas
filaments resulting from jet-induced cooling of cluster gas are flowing onto
the circumnuclear accretion disc of the SMBH, showing that the cooled gas does
indeed feed the AGN. These results complete our view of the feedback loop of
how an AGN can impact on its surroundings and how the effects from this impact
maintain the AGN activity.",Tom Oosterloo,Contributed,Feedback (large scales and clusters),False,11:45,12:00,Thursday,,,,,,
LOFAR unveils an exceptional radio lobe-spiral galaxy encounter,"I will report on the serendipitous discovery of an unprecedented interaction between the radio lobe of an FRI galaxy and a spiral galaxy. The discovery was made thanks to LOFAR observations of the galaxy cluster Abell 160 (z=0.04317) provided by the LoTSS survey. The new low-frequency observation revealed that one of the radio lobes of the central galaxy GIN 049 encompasses the spiral galaxy JO36 (z=0.0407). Previous studies carried out with MUSE revealed that the hot, ionized interstellar medium of JO36, traced by Hα emission, is severely truncated with respect to its stellar disk.  We further explore this unique system by including new uGMRT observations at 610 MHz to map the spectral index all over the radio source. I will showcase the results of this multi-wavelength analysis. The emerging scenario is that the evolution of JO36 has been strongly driven by a combination of environmental processing, via the ram pressure stripping, and the encounter with the radio lobe. In turn, the galaxy passage left a trace in the radio-old lobe by re-accelerating the old relativistic electrons. This system represents a new, unique laboratory to study the astrophysics of relativistic plasmas and it will be the object of future studies.",Alessandro Ignesti,Contributed,Feedback (large scales and clusters),False,12:00,12:15,Thursday,,,,,,
Radio galaxies interacting with gas motions in dense environments,"Radio galaxies in galaxy groups and clusters can be significantly affected by the interaction with the surrounding medium. In particular, recent low-frequency observations have unveiled an increasing number of tailed AGN with peculiar filamentary and distorted morphologies in these dense environments. These structures probe how dynamical motions in the thermal gas can disturb the evolution of radio sources and provide a laboratory to study the process of enrichment of relativistic electrons and magnetic fields in groups and clusters.
In this talk, I will present results of recent highly sensitive observations at low-frequency performed with LOFAR and the uGMRT of AGN living in dense environments that show evidence of ongoing interaction with the thermal gas, as confirmed by X-ray observations. I will also provide evidence for the presence of filaments of radio emission with very steep spectrum which are likely related to remnant fossil plasma ejected by previous AGN outbursts that is being re-energized through compression processes. These observational results will be placed into the context of the interplay between thermal and non-thermal  components and of the life cycle of relativistic electrons in dense environments.",Andrea Botteon,Contributed,Feedback (large scales and clusters),False,12:15,12:30,Thursday,,,,,,
AGN feedback in galaxy groups: radio surveys insights on the lower-mass regime,"In the last two decades, significant improvement has been made in the understanding of how radio-mode AGN feedback operates in galaxy clusters. However, the vast majority of these studies involved observations of relatively small, high-mass (M> 5 x 10^14 Msun) samples. I will review recent advances in the lower-mass regime, where survey observations performed by VLA, LOFAR and MeerKAT in the radio band, in combination with eROSITA, Chandra and XMM-Newton in the X-rays, are exploited to investigate AGN feedback on the macro scale in large (N>200) samples of galaxy clusters and groups, for the first time down to masses of 2 x 10^13 Msun. A correlation exists between the cluster X-ray emission and the radio emission of the central AGN, which seemingly holds at all masses for both disturbed and relaxed objects. Brightest Cluster Galaxies hosting strong AGN radio emission are always found within 0.2 virial radii from the cluster centre, and there is evidence for an higher probability of stronger AGN being hosted in more massive systems. All these observations support the picture of a strong connection between the ICM and radio galaxies hosted in BCGs, which is also predicted by cold accretion models.",Thomas Pasini,Contributed,Feedback (large scales and clusters),False,12:30,12:45,Thursday,,,,,,
The J1030 field: AGN feedback in a young proto-cluster at z = 1.7 and in faint radio-galaxy populations,"In this talks I will report on interferometric observations of the so-called ""J1030"" field centered around the z = 6.3 SDSS Quasar J1030+0524, carried out with ALMA and JVLA. This field hosts a LSS assembling around a powerful HzRG at z = 1.7 that shows evidence of positive AGN feedback in heating the surrounding ICM and promoting star-formation in multiple galaxies at hundreds kpc distances. I report the detection of gas-rich members of the LSS, show that the LSS is going to evolve into a local massive cluster and that the HzRG is the proto-BCG. I will show signatures of the proto-BCG's interaction with the surrounding ICM, strengthening the positive AGN feedback scenario. From the JVLA observations of the ""J1030"" field we extracted one of the deepest extra-galactic radio surveys to date (~12.5 uJy at 5 sigma). Exploiting the synergy with the X-ray deep survey (~500 ks) we investigated the relation of the X-ray/radio emission of a X-ray-selected sample, unveiling that the radio emission is powered by different processes (star-formation and AGN). AGN-driven sample is mostly composed by RQ objects that display a significant X-ray/radio correlation, possibly indicating the presence of jet-induced feedback in RQ AGN.",Quirino D'Amato,Contributed,Feedback (large scales and clusters),False,12:45,13:00,Thursday,,,,,,
Lunch,,,,Conference,False,13:00,14:30,Thursday,,,,,,
 Jet-induced feedback on circumgalactic and extragalactic scales: a theoretical perspective,"Radio jets launched by supermassive black holes offer perhaps the most obvious evidence of active galactic nucleus feedback in action. Understanding the interplay between jets and their environments is crucial for unravelling how supermassive black holes can influence the evolution of galaxies, groups, and clusters. Advancements in simulation and numerical techniques over the past decade or so have allowed us to model jet feedback on a wide range of scales and in evermore intricate detail. This review focuses on what we can learn from simulations of jet feedback acting on the circumgalactic medium and beyond. I will outline the simulation methods employed for studying jets on these scales and highlight the challenges faced in doing so. While I will briefly discuss the influence of jets on the circumgalactic medium, my primary focus will be on insights gained from simulating jet feedback in group and cluster environments. Specifically, I will provide an overview of several key topics. Firstly, how jet properties, including cosmic ray content, affect the inflation and evolution of lobes. Secondly, what simulations tell us about how the jet energy couples to the surrounding medium. Thirdly, and likely in combination with the above points, I will attempt to outline recent progress in understanding the impact that various physical processes and phenomena, such as cluster weather, magnetic fields, thermal conduction and viscosity, have in determining the nature and effectiveness of this feedback mechanism. Finally, I will outline key open questions and highlight promising avenues for future investigation.",Martin Bourne ,Invited,Feedback (large scales and clusters),True,14:30,15:00,Thursday,,,,,,
What can bent-jet radio galaxies teach us about their environment?,"The recent advances in sensitivity of radio-frequency facilities have revealed complex structures in many bent-jet radio galaxies which complicates their classification. The nearby Perseus cluster is an astonishing case study for such sources. High sensitivity, high resolution Karl G. Jansky Very Large Array (VLA) observations have resolved new structures associated with several bent-jet radio galaxies harbored within this cluster, including IC310 - the only known tailed radio galaxy with a gamma-ray counterpart. I will present different interpretations of their morphologies, involving interaction with bulk motions of intracluster gas and the galaxy’s orbit in the cluster. Such work is paving the way for the SKA surveys, which should detect roughly one million bent-jet radio galaxies, thereby calling for a redefinition of our classification schemes. In the prospect of such surveys, and complementary multi-wavelength observations, I will discuss how we could use bent-jet radio galaxies as tracers of the “cluster weather”. These early efforts, in revamping radio-jet classification schemes and developing novel analysis methods to characterize the intracluster medium, are essential for the upcoming cascade of detections.",Marie-Lou Gendron-Marsolais,Contributed,Feedback (large scales and clusters),False,15:00,15:15,Thursday,,,,,,
Regular cofee break,,,,Conference,False,15:15,15:45,Thursday,,,,,,
Probing the impact of AGN feedback on gas distribution with SIMBA and IllustrisTNG simulations,"Jet activity from black holes are regarded as a major source of energy feedback to the CGM and are thought to be needed to regulate star-forming activity in galaxies. In simulations, there are several models of implementing this feedback mechanism, and they predict different properties for the CGM. This offers opportunities to distinguish them by confronting those predictions with observations. We first investigate the relation between the integrated tSZ y-decrement versus halo mass (Y-M), which can potentially constrain galaxy formation models. By studying the Y-M relation using the simulations, we find that the measured relations strongly depend on the adopted feedback models. Also, the current observations are complicated by observational systematics. We show that forthcoming facilities with arcminute resolution would retain the differences between model measurements and thereby provide strong constraints on AGN feedback. We further focus on the anisotropic behavior of the CGM and its relation to the AGN jet feedback simulations. Via stacking, we study the angular dependence of CGM properties around central galaxies. These anisotropic features may allow us to distinguish these feedback mechanisms in real observations.",Tianyi Yang,Contributed,Feedback (large scales and clusters),True,15:45,16:00,Thursday,,,,,,
"The enrichment of ""fossil"" radio electrons by multiple radio galaxies in clusters and in the cosmic web","Radio observations show that a volume-filling distribution of fossil relativistic electrons is needed to understand the emergence of diffuse radio emissions in cluster of galaxies (e.g. radio halos or radio relics), because such electrons are the necessary ""seeds"" used by Fermi I and II re-acceleration mechanisms to power radio emission. Radio galaxies are a viable candidate for the continuous seeding of such electrons in cosmic structures, but they are a difficult ingredient for modern numerical simulations as their modelling encompasses a challenging range of scales. I will present recent developments and results in the numerical simulation of this process, which potentially allows us to connect the visible an invisible activity of radio galaxies in crowded cosmic environments, and help us better constraining AGN energetics and duty cycle. ",Franco Vazza,Contributed,Feedback (large scales and clusters),False,16:00,16:15,Thursday,,,,,,
Discussion,,,,Feedback (large scales and clusters),False,16:15,17:00,Thursday,,,,,,
Aperitif at sunset on the Beach (location TBD) ,,,,Conference,False,18:00,20:00,Thursday,,,,,,
